361648	438493
434981	846740
390237	577977
528596	868027
768204	438493
312638	616919
835220	400909
543606	891835
219457	731593
852746	904700
694953	197344
322171	845229
120076	662982
325466	255653
343433	780757
104154	251877
538214	417728
877381	494671
528596	585640
25493	412301
498344	625990
553829	175010
208398	909954
872310	558520
365423	867923
857934	854209
896450	604646
725962	38716
336463	312638
321753	29758
239837	845229
660210	0
522510	320258
502280	471056
266938	741330
570294	69200
209754	818345
198078	169762
68704	907084
554441	677789
283476	491156
222904	449439
662982	0
862008	559625
578649	885067
69618	796411
169762	587645
169762	76868
898319	891835
877381	891835
556570	3501
577132	449439
719026	169762
65302	848513
510754	417728
471056	693274
120182	867959
496782	175728
807658	242490
389904	654625
414038	108113
810323	432487
334440	208398
588022	21875
854209	11342
416170	397816
335113	32366
135478	438493
725545	10260
625990	5319
293748	11342
232639	378566
152061	20191
729703	169316
283476	867923
336463	500627
483838	654625
52684	136733
659888	300017
425102	659942
363220	578122
588022	559767
732540	796411
263225	904700
56203	483166
242490	527419
670462	208191
867923	846213
247548	11927
810380	757939
720270	858420
459923	29758
312638	752882
294155	527419
190079	438493
118398	571331
893714	857527
172576	38716
222904	562986
310547	197344
118398	102341
855011	0
293131	727660
37796	559767
120182	585431
271676	10453
56203	438493
788071	565670
603853	818816
627418	341259
273716	102341
335113	15901
658437	571585
251448	260412
669643	417728
32382	625990
402977	220965
578649	867923
625714	26256
740065	857527
852746	795003
322178	867923
649828	625990
512812	854209
768204	558815
616836	293131
830507	412740
309564	417728
907084	517246
176178	695376
392477	757356
309564	784413
659942	392567
752874	414473
807267	11342
37796	21875
136593	846213
292101	833053
868027	886955
427309	245186
603853	176178
818816	226594
68369	234606
366080	0
412740	796411
720270	460410
263225	795003
561337	11342
852419	11342
597524	896949
226594	528596
677789	554441
760842	637361
502280	780757
257738	796411
325466	294887
868027	417728
815602	0
680052	273716
432487	20191
728417	760842
764878	40669
665759	861594
615930	537167
333501	295675
414038	335113
874936	818816
548921	637361
904700	649716
515514	471231
316749	169316
427365	402977
524242	818816
343433	471056
562986	331850
824020	387543
259204	468651
631381	830507
21875	615930
146550	547989
434981	665759
535748	867923
477647	199986
721453	0
272070	817484
609104	438493
695578	0
412301	25493
381762	135478
746613	334440
190621	438493
760842	835220
438493	455062
70082	835704
259336	298770
287468	891835
615930	343433
659888	298770
659942	273068
81453	569594
432279	272070
293131	764106
499324	649716
880088	87753
814002	70053
32382	392477
321753	699442
672426	466045
692491	637361
160114	701455
649828	392477
616836	746613
292101	549387
807658	242080
494671	857527
901600	438493
645018	867923
553829	867923
293748	760842
859941	344781
857934	0
665759	434981
400909	891835
577132	705154
625890	483838
752874	373871
344781	654625
631381	654625
430049	0
103142	484480
385830	853058
684435	38716
233177	65302
309564	27469
899420	190621
741330	266938
867923	500627
222904	705154
896450	643627
442324	11342
293131	52426
385830	659942
732540	347098
331850	73352
722764	795003
234606	432487
293131	321421
655101	38716
276347	845229
29546	0
232480	221809
559767	615930
381833	796411
333501	483166
193375	0
553829	479014
390237	24440
912018	311622
363712	914941
417809	741330
245632	722764
412301	577588
780663	891835
643627	166029
251448	403688
459923	699442
578122	113766
81453	659888
177732	181012
390237	620286
427309	649828
527419	913550
91807	322178
745315	432476
76868	246522
615930	502280
392477	604059
534181	870300
658661	438493
714886	765654
333501	438493
496782	76868
891835	857527
534181	603853
815602	807267
642451	570294
872310	47276
273716	880088
392477	763148
104154	438493
652810	572204
780757	693274
363220	835974
515680	298002
235849	11342
397816	402977
363220	11395
273068	438493
498344	392477
381762	658661
215810	178215
544103	345378
514123	784027
556570	298770
16790	438493
240602	298002
432279	477327
654625	98303
600594	535748
810380	874285
51804	99199
245632	263225
721453	48065
914941	500542
523684	120076
240416	11342
298002	516246
232480	867923
507819	169316
512812	0
